session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,7,4,5,2,Kale,Indian,Hindu,OBC,gm,1,1,86
A,7,5,3,1,Deshpande,Indian,Hindu,GM,gm,1,7,96
A,7,6,22,6,Mir,Foreign,Muslim,N/A,gm,0,1,65
A,7,7,11,3,Wadder,Indian,Hindu,SCST,gm,0,1,30
A,7,8,4,1,Kulkarni,Indian,Hindu,GM,gm,1,7,99
A,7,9,24,6,Mirza,Foreign,Muslim,N/A,gm,0,1,76
A,7,10,15,4,Haq,Indian,Muslim,OBC,gm,1,1,55
A,7,11,9,3,Madar,Indian,Hindu,SCST,gm,0,1,40
A,7,12,16,4,Sheikh,Indian,Muslim,OBC,gm,1,7,60
A,7,13,10,3,Kamble,Indian,Hindu,SCST,gm,0,1,65
A,7,14,14,4,Mulla,Indian,Muslim,OBC,gm,1,1,76
A,7,15,21,6,Sheikh,Foreign,Muslim,N/A,gm,0,7,80
A,7,16,20,5,Dissanayake,Foreign,Hindu,N/A,gm,1,1,99
A,7,17,19,5,Prasanna,Foreign,Hindu,N/A,gm,1,1,40
A,7,18,6,2,Waghmore,Indian,Hindu,OBC,gm,1,7,41
A,7,19,8,2,Pal,Indian,Hindu,OBC,gm,0,7,99
A,7,20,17,5,Gurung,Foreign,Hindu,N/A,gm,1,1,90
A,7,21,2,1,Joshi,Indian,Hindu,GM,gm,1,1,91
A,7,22,1,1,Desai,Indian,Hindu,GM,gm,1,1,98
A,7,23,13,4,Nadaf,Indian,Muslim,OBC,gm,0,7,40
A,7,24,12,3,Harijan,Indian,Hindu,SCST,gm,0,7,5
A,8,1,7,2,Sambrani,Indian,Hindu,OBC,gm,1,7,20
A,8,2,23,6,Akhand,Foreign,Muslim,N/A,gm,0,1,20
A,8,3,18,5,Thapa,Foreign,Hindu,N/A,gm,1,1,92
A,8,4,5,2,Kale,Indian,Hindu,OBC,gm,0,7,80
A,8,5,3,1,Deshpande,Indian,Hindu,GM,gm,0,7,95
A,8,6,22,6,Mir,Foreign,Muslim,N/A,gm,0,1,10
A,8,7,11,3,Wadder,Indian,Hindu,SCST,gm,0,1,70
A,8,8,4,1,Kulkarni,Indian,Hindu,GM,gm,1,7,95
A,8,9,24,6,Mirza,Foreign,Muslim,N/A,gm,0,1,30
A,8,10,15,4,Haq,Indian,Muslim,OBC,gm,0,1,70
A,8,11,9,3,Madar,Indian,Hindu,SCST,gm,0,1,60
A,8,12,16,4,Sheikh,Indian,Muslim,OBC,gm,0,1,70
A,8,13,10,3,Kamble,Indian,Hindu,SCST,gm,0,1,80
